Case Type,CJC,LSPBS
Civil,Bankruptcy / DRS,Bankruptcy / Insolvency (Other)
Civil,Claims (Contractual),Debt Recovery (Others) [Credit Card/ Medical/ Phone Bills]
Civil,Claims (Contractual),"General Service & Hire Agreements (Issue with Contractor, etc.) Contract)"
Civil,Claims (Contractual),Hire Purchase Deals / Vehicles and Furniture (Contract)
Civil,Claims (Insurance),Insurance-Life/Health/Other (Contract)
Civil,Claims (Tortious),Defamation (Tort)
Civil,Claims (Tortious),Negligence (Accidental Physical Harm / Battery) (Tort)
Civil,Claims (Tortious),Negligence (Medical) (Tort)
Civil,Claims (Tortious),Harassment / Assault (Tort)
Civil,Claims (Traffic Accidents),Negligence (Traffic Accident) (Tort)
Civil,Consumer Rights,General Product & Purchase Agreements (Faulty Product etc.) (Contract)
Civil,Employment,Employment Agreements & Workplace Issues (Contract)
Civil,Harassment,Intentional Harassment (POHA) / Assault (Tort)
Civil,Intellectual Property,Intellectual Property (Copyright / Trademark) (Property)
Civil,Loan (Personal / CCs / Banks / Moneylenders),"Personal Loan (Lending Money Between Individuals, Illegal Moneylending etc.) (Contract)"
Civil,Loan (Personal / CCs / Banks / Moneylenders),Guarantor for Loan (Contract)
Civil,Neighbour Disputes / Nuisance,
Civil,Property / Land-related,Property & Mortgages (Civil)
Civil,Small Claims (App/Enforcement/Appeal),General Product & Purchase Agreements (Faulty Product etc.) (Contract)
Civil,Small Claims (App/Enforcement/Appeal),"General Service & Hire Agreements (Issue with Contractor, etc.) Contract)"
Civil,Tenancy Disputes,Landlord / Tenant (Property)
Civil,Others,Investment Scams / Time-Share Issues (Contract)
Civil,Others,Other Legal Matters (Other)
Criminal,Bail Matters,Bail Sureties & Court Procedures (Criminal)
Criminal,Commercial Crimes,Criminal Charges (Criminal)
Criminal,Contraband Smuggling & Immigration Offences,Criminal Charges (Criminal)
Criminal,Crime Against Person (Sexual Offences),Criminal Charges (Criminal)
Criminal,Crime Against Person (Fatal),Criminal Charges (Criminal)
Criminal,Crimes Against Person (Non-fatal),Criminal Charges (Criminal)
Criminal,Crime Against Property (Theft),Criminal Charges (Criminal)
Criminal,Crime Against Property (Others),Criminal Charges (Criminal)
Criminal,Departmental/Statutory Board Charges & Summonses,Criminal Charges (Criminal)
Criminal,Drugs Offences,Criminal Charges (Criminal)
Criminal,Magistrate's Complaints & Private Summons,Criminal Charges (Criminal)
Criminal,Military Offences,Military Law Issues (Other)
Criminal,"Miscellaneous Crimes (Eg Public Nuisance, unlawful assembly etc)",Criminal Charges (Criminal)
Criminal,Women's Charter,Criminal Charges (Criminal)
Criminal,Traffic Violations,Traffic Accidents / Violations (Criminal)
Criminal,Unlicensed Money Lending,Criminal Charges (Criminal)
Criminal,Non-Court Procedural Matters,Criminal Charges (Criminal)
Criminal,Others,
Family,Adoption / Guardianship,Mental Capacity / Guardianship / Deputy Matters (Family)
Family,Ancillary Matters,Divorce / Judicial Separation/ Annulment/ PPO/ DEO/ Maintenance/ Child Custody / Division of Property (Family)
Family,Ancillary Matters,Maintenance (Family)
Family,Annulment of Marriage,Divorce / Judicial Separation/ Annulment/ PPO/ DEO/ Maintenance/ Child Custody / Division of Property (Family)
Family,Beyond Parental Control,
Family,Custody / Child Access,Divorce / Judicial Separation/ Annulment/ PPO/ DEO/ Maintenance/ Child Custody / Division of Property (Family)
Family,Deed of Separation,Divorce / Judicial Separation/ Annulment/ PPO/ DEO/ Maintenance/ Child Custody / Division of Property (Family)
Family,Deputyship / LPA,Mental Capacity / Guardianship / Deputy Matters (Family)
Family,Division of Matrimonial Assets,Divorce / Judicial Separation/ Annulment/ PPO/ DEO/ Maintenance/ Child Custody / Division of Property (Family)
Family,Family Conflict,Divorce / Judicial Separation/ Annulment/ PPO/ DEO/ Maintenance/ Child Custody / Division of Property (Family)
Family,General Divorce Proceedings,Divorce / Judicial Separation/ Annulment/ PPO/ DEO/ Maintenance/ Child Custody / Division of Property (Family)
Family,Maintenance,Divorce / Judicial Separation/ Annulment/ PPO/ DEO/ Maintenance/ Child Custody / Division of Property (Family)
Family,Parents' Maintenance,Divorce / Judicial Separation/ Annulment/ PPO/ DEO/ Maintenance/ Child Custody / Division of Property (Family)
Family,Syariah Marriage,Syariah Law Matters (Other)
Family,PPO,Divorce / Judicial Separation/ Annulment/ PPO/ DEO/ Maintenance/ Child Custody / Division of Property (Family)
Family,Probate,Estate / Wills / Probate (Property)
Family,Others,Other Legal Matters (Other)
,,Immigration Issues (Other)
,,Non-Legal Matters (Other)
,,Privacy / Personal Data Protection Act (PDPA) (Tort)
